shelfmark	issued	titles	bundles	no bundle	quota bundles	rvk	no rvk	quota rvk
MUE	2013	6	6	0	100,00	6	0	100,00
MUE	2012	7	5	2	71,43	5	2	71,43
MUE	2011	4	2	2	50,00	2	2	50,00
MUE	2010	7	7	0	100,00	7	0	100,00
MUF	2018	10	5	5	50,00	5	5	50,00
MUF	2017	20	8	12	40,00	8	12	40,00
MUF	2016	22	6	16	27,27	6	16	27,27
MUF	2015	23	7	16	30,43	6	17	26,09
MUF	2014	28	11	17	39,29	11	17	39,29
MUF	2013	30	13	17	43,33	13	17	43,33
MUF	2012	37	8	29	21,62	8	29	21,62
MUF	2011	32	11	21	34,38	10	22	31,25
MUF	2010	22	9	13	40,91	8	14	36,36
MUG	2018	5	5	0	100,00	5	0	100,00
MUG	2017	6	6	0	100,00	6	0	100,00
MUG	2016	7	7	0	100,00	7	0	100,00
MUG	2015	8	8	0	100,00	8	0	100,00
MUG	2014	7	7	0	100,00	7	0	100,00
MUG	2013	11	9	2	81,82	9	2	81,82
MUG	2012	9	6	3	66,67	6	3	66,67
MUG	2011	7	7	0	100,00	7	0	100,00
MUG	2010	9	9	0	100,00	9	0	100,00
MUH	2018	4	3	1	75,00	3	1	75,00
MUH	2017	2	2	0	100,00	2	0	100,00
MUH	2016	1	1	0	100,00	1	0	100,00
MUH	2015	2	2	0	100,00	2	0	100,00
MUH	2014	3	3	0	100,00	3	0	100,00
MUH	2013	2	2	0	100,00	2	0	100,00
MUH	2012	1	1	0	100,00	1	0	100,00
MUH	2011	1	1	0	100,00	1	0	100,00
MUJ	2018	1	1	0	100,00	1	0	100,00
MUJ	2016	1	1	0	100,00	1	0	100,00
MUJ	2013	2	2	0	100,00	2	0	100,00
MUJ	2012	2	2	0	100,00	2	0	100,00
MUJ	2011	1	1	0	100,00	1	0	100,00
MUJ	2010	2	2	0	100,00	2	0	100,00
MUK	2018	2	2	0	100,00	2	0	100,00
MUK	2017	2	2	0	100,00	2	0	100,00
MUK	2016	2	2	0	100,00	2	0	100,00
MUK	2015	2	2	0	100,00	2	0	100,00
MUK	2014	3	2	1	66,67	2	1	66,67
MUK	2013	2	0	2	0,00	0	2	0,00
MUK	2012	4	2	2	50,00	2	2	50,00
MUK	2011	7	6	1	85,71	6	1	85,71
MUK	2010	6	6	0	100,00	6	0	100,00
MUL	2019	1	1	0	100,00	1	0	100,00
MUL	2018	1	1	0	100,00	1	0	100,00
MUL	2017	1	1	0	100,00	1	0	100,00
MUL	2016	3	1	2	33,33	1	2	33,33
MUL	2015	3	3	0	100,00	3	0	100,00
MUL	2014	4	2	2	50,00	2	2	50,00
MUL	2013	8	8	0	100,00	8	0	100,00
MUL	2012	7	7	0	100,00	7	0	100,00
MUL	2011	2	2	0	100,00	2	0	100,00
MUL	2010	5	4	1	80,00	4	1	80,00
MUM	2018	1	1	0	100,00	1	0	100,00
MUM	2017	1	1	0	100,00	1	0	100,00
MUM	2016	9	7	2	77,78	7	2	77,78
MUM	2015	8	8	0	100,00	8	0	100,00
MUM	2014	11	9	2	81,82	9	2	81,82
MUM	2013	18	15	3	83,33	15	3	83,33
MUM	2012	17	15	2	88,24	15	2	88,24
MUM	2011	26	22	4	84,62	22	4	84,62
MUM	2010	20	19	1	95,00	19	1	95,00
MUN	2018	5	5	0	100,00	5	0	100,00
MUN	2017	5	5	0	100,00	5	0	100,00
MUN	2016	4	4	0	100,00	3	1	75,00
MUN	2015	9	9	0	100,00	9	0	100,00
MUN	2014	8	8	0	100,00	8	0	100,00
MUN	2013	16	16	0	100,00	15	1	93,75
MUN	2012	10	10	0	100,00	10	0	100,00
MUN	2011	12	9	3	75,00	9	3	75,00
MUN	2010	15	14	1	93,33	14	1	93,33
MUO	2018	3	3	0	100,00	3	0	100,00
MUO	2017	8	8	0	100,00	8	0	100,00
MUO	2016	6	6	0	100,00	6	0	100,00
MUO	2015	4	4	0	100,00	4	0	100,00
MUO	2014	3	3	0	100,00	3	0	100,00
MUO	2013	4	4	0	100,00	4	0	100,00
MUO	2012	9	9	0	100,00	9	0	100,00
MUO	2011	6	6	0	100,00	6	0	100,00
MUO	2010	6	6	0	100,00	6	0	100,00
MUP	2018	5	5	0	100,00	5	0	100,00
MUP	2017	8	8	0	100,00	8	0	100,00
MUP	2016	13	12	1	92,31	12	1	92,31
MUP	2015	6	6	0	100,00	4	2	66,67
MUP	2014	20	18	2	90,00	18	2	90,00
MUP	2013	10	10	0	100,00	9	1	90,00
MUP	2012	9	9	0	100,00	9	0	100,00
MUP	2011	11	11	0	100,00	11	0	100,00
MUP	2010	13	13	0	100,00	12	1	92,31
MUR	2017	1	1	0	100,00	1	0	100,00
MUR	2010	1	1	0	100,00	1	0	100,00
MUS	2017	1	1	0	100,00	1	0	100,00
MUS	2011	2	2	0	100,00	2	0	100,00
MUS	2010	2	2	0	100,00	2	0	100,00
MUT	2018	5	4	1	80,00	4	1	80,00
MUT	2017	4	3	1	75,00	3	1	75,00
MUT	2016	6	4	2	66,67	4	2	66,67
MUT	2015	2	1	1	50,00	1	1	50,00
MUT	2014	4	4	0	100,00	4	0	100,00
MUT	2013	3	2	1	66,67	2	1	66,67
MUT	2012	5	5	0	100,00	5	0	100,00
MUT	2011	4	3	1	75,00	3	1	75,00
MUT	2010	5	4	1	80,00	4	1	80,00
MUU	2017	2	0	2	0,00	0	2	0,00
MUU	2016	2	0	2	0,00	0	2	0,00
MUU	2015	10	0	10	0,00	0	10	0,00
MUU	2014	12	0	12	0,00	0	12	0,00
MUU	2013	2	0	2	0,00	0	2	0,00
MUU	2012	3	0	3	0,00	0	3	0,00
MUU	2011	10	2	8	20,00	2	8	20,00
MUU	2010	8	0	8	0,00	0	8	0,00
MUW	2017	1	0	1	0,00	0	1	0,00
MUW	2016	2	1	1	50,00	1	1	50,00
MUW	2015	1	0	1	0,00	0	1	0,00
MUW	2013	1	0	1	0,00	0	1	0,00
MUW	2011	1	1	0	100,00	1	0	100,00
MUW	2010	2	1	1	50,00	0	2	0,00
MUX	2017	2	1	1	50,00	1	1	50,00
MUX	2016	2	0	2	0,00	0	2	0,00
MUX	2015	4	0	4	0,00	0	4	0,00
MUX	2014	1	0	1	0,00	0	1	0,00
MUX	2013	3	0	3	0,00	0	3	0,00
MUX	2012	7	0	7	0,00	0	7	0,00
MUX	2011	7	0	7	0,00	0	7	0,00
MUX	2010	6	1	5	16,67	0	6	0,00
MUY	2015	3	0	3	0,00	0	3	0,00
MUY	2014	9	1	8	11,11	1	8	11,11
MUY	2013	8	0	8	0,00	0	8	0,00
MUY	2012	12	1	11	8,33	0	12	0,00
MUY	2011	3	0	3	0,00	0	3	0,00
MUY	2010	11	0	11	0,00	0	11	0,00
P	2019	4	2	2	50,00	2	2	50,00
P	2018	76	71	5	93,42	70	6	92,11
P	2017	141	135	6	95,74	133	8	94,33
P	2016	243	218	25	89,71	217	26	89,30
P	2015	221	202	19	91,40	202	19	91,40
P	2014	259	244	15	94,21	240	19	92,66
P	2013	295	274	21	92,88	270	25	91,53
P	2012	280	249	31	88,93	247	33	88,21
P	2011	300	270	30	90,00	268	32	89,33
P	2010	530	493	37	93,02	490	40	92,45
PA	2019	1	0	1	0,00	0	1	0,00
PA	2018	5	5	0	100,00	5	0	100,00
PA	2017	3	3	0	100,00	2	1	66,67
PA	2016	4	3	1	75,00	3	1	75,00
PA	2015	7	7	0	100,00	7	0	100,00
PA	2014	3	3	0	100,00	3	0	100,00
PA	2013	8	8	0	100,00	8	0	100,00
PA	2012	9	5	4	55,56	5	4	55,56
PA	2011	3	2	1	66,67	2	1	66,67
PA	2010	9	8	1	88,89	8	1	88,89
PB	2019	1	1	0	100,00	1	0	100,00
PB	2018	10	9	1	90,00	8	2	80,00
PB	2017	37	37	0	100,00	36	1	97,30
PB	2016	53	49	4	92,45	49	4	92,45
PB	2015	45	44	1	97,78	44	1	97,78
PB	2014	67	62	5	92,54	61	6	91,04
PB	2013	65	60	5	92,31	60	5	92,31
PB	2012	65	60	5	92,31	60	5	92,31
PB	2011	68	66	2	97,06	66	2	97,06
PB	2010	136	128	8	94,12	127	9	93,38
PC	2019	2	1	1	50,00	1	1	50,00
PC	2018	45	43	2	95,56	43	2	95,56
PC	2017	68	65	3	95,59	65	3	95,59
PC	2016	121	106	15	87,60	106	15	87,60
PC	2015	127	116	11	91,34	116	11	91,34
PC	2014	144	138	6	95,83	135	9	93,75
PC	2013	147	138	9	93,88	134	13	91,16
PC	2012	143	129	14	90,21	127	16	88,81
PC	2011	151	135	16	89,40	134	17	88,74
PC	2010	250	231	19	92,40	230	20	92,00
PD	2018	2	2	0	100,00	2	0	100,00
PD	2017	1	1	0	100,00	1	0	100,00
PD	2016	8	6	2	75,00	6	2	75,00
PD	2015	4	4	0	100,00	4	0	100,00
PD	2014	3	2	1	66,67	2	1	66,67
PD	2013	11	10	1	90,91	10	1	90,91
PD	2012	11	11	0	100,00	11	0	100,00
PD	2011	15	13	2	86,67	13	2	86,67
PD	2010	18	17	1	94,44	17	1	94,44
PE	2017	3	3	0	100,00	3	0	100,00
PE	2015	3	3	0	100,00	3	0	100,00
PE	2014	5	5	0	100,00	5	0	100,00
PE	2013	1	1	0	100,00	1	0	100,00
PE	2012	2	2	0	100,00	2	0	100,00
PE	2011	1	1	0	100,00	1	0	100,00
PE	2010	5	5	0	100,00	5	0	100,00
PF	2018	11	10	1	90,91	10	1	90,91
PF	2017	25	22	3	88,00	22	3	88,00
PF	2016	51	49	2	96,08	48	3	94,12
PF	2015	29	25	4	86,21	25	4	86,21
PF	2014	29	27	2	93,10	27	2	93,10
PF	2013	59	55	4	93,22	55	4	93,22
PF	2012	44	38	6	86,36	38	6	86,36
PF	2011	54	48	6	88,89	47	7	87,04
PF	2010	97	91	6	93,81	90	7	92,78
PG	2018	3	2	1	66,67	2	1	66,67
PG	2017	4	4	0	100,00	4	0	100,00
PG	2016	6	5	1	83,33	5	1	83,33
PG	2015	6	3	3	50,00	3	3	50,00
PG	2014	8	7	1	87,50	7	1	87,50
PG	2013	4	2	2	50,00	2	2	50,00
PG	2012	6	4	2	66,67	4	2	66,67
PG	2011	8	5	3	62,50	5	3	62,50
PG	2010	15	13	2	86,67	13	2	86,67
PH	2019	1	1	0	100,00	1	0	100,00
PH	2018	18	17	1	94,44	17	1	94,44
PH	2017	14	11	3	78,57	11	3	78,57
PH	2016	29	19	10	65,52	19	10	65,52
PH	2015	49	35	14	71,43	35	14	71,43
PH	2014	37	25	12	67,57	25	12	67,57
PH	2013	37	34	3	91,89	34	3	91,89
PH	2012	43	33	10	76,74	33	10	76,74
PH	2011	74	62	12	83,78	62	12	83,78
PH	2010	97	81	16	83,51	81	16	83,51
PHB	2018	1	0	1	0,00	0	1	0,00
PHB	2015	2	1	1	50,00	1	1	50,00
PHB	2014	1	1	0	100,00	1	0	100,00
PHB	2013	3	3	0	100,00	3	0	100,00
PHB	2012	3	2	1	66,67	2	1	66,67
PHB	2011	4	1	3	25,00	1	3	25,00
PHB	2010	4	3	1	75,00	3	1	75,00
PHC	2017	2	0	2	0,00	0	2	0,00
PHC	2014	2	2	0	100,00	2	0	100,00
PHC	2013	2	2	0	100,00	2	0	100,00
PHC	2012	1	1	0	100,00	1	0	100,00
PHC	2011	5	5	0	100,00	5	0	100,00
PHC	2010	1	1	0	100,00	1	0	100,00
PHD	2011	1	1	0	100,00	1	0	100,00
PHF	2018	2	2	0	100,00	2	0	100,00
PHF	2017	2	2	0	100,00	2	0	100,00
PHF	2016	7	5	2	71,43	5	2	71,43
PHF	2015	10	10	0	100,00	10	0	100,00
PHF	2014	4	3	1	75,00	3	1	75,00
PHF	2013	4	4	0	100,00	4	0	100,00
PHF	2012	3	3	0	100,00	3	0	100,00
PHF	2011	11	11	0	100,00	11	0	100,00
PHF	2010	13	12	1	92,31	12	1	92,31
PHG	2018	1	1	0	100,00	1	0	100,00
PHG	2017	1	1	0	100,00	1	0	100,00
PHG	2016	4	4	0	100,00	4	0	100,00
PHG	2015	4	2	2	50,00	2	2	50,00
PHG	2014	3	3	0	100,00	3	0	100,00
PHG	2013	3	3	0	100,00	3	0	100,00
PHG	2012	3	2	1	66,67	2	1	66,67
PHG	2011	10	8	2	80,00	8	2	80,00
PHG	2010	8	8	0	100,00	8	0	100,00
PHH	2018	1	1	0	100,00	1	0	100,00
PHH	2017	1	1	0	100,00	1	0	100,00
PHH	2015	2	2	0	100,00	2	0	100,00
PHH	2014	1	1	0	100,00	1	0	100,00
PHH	2013	2	2	0	100,00	2	0	100,00
PHH	2012	3	3	0	100,00	3	0	100,00
PHH	2011	1	1	0	100,00	1	0	100,00
PHH	2010	3	3	0	100,00	3	0	100,00
PHJ	2018	1	1	0	100,00	1	0	100,00
PHJ	2016	2	0	2	0,00	0	2	0,00
PHJ	2015	1	1	0	100,00	1	0	100,00
PHJ	2014	4	4	0	100,00	4	0	100,00
PHJ	2013	4	4	0	100,00	4	0	100,00
PHJ	2012	2	2	0	100,00	2	0	100,00
PHJ	2011	5	5	0	100,00	5	0	100,00
PHJ	2010	4	4	0	100,00	4	0	100,00
PHK	2018	2	2	0	100,00	2	0	100,00
PHK	2017	3	3	0	100,00	3	0	100,00
PHK	2016	2	2	0	100,00	2	0	100,00
PHK	2015	10	7	3	70,00	7	3	70,00
PHK	2014	5	5	0	100,00	5	0	100,00
PHK	2013	6	6	0	100,00	6	0	100,00
PHK	2012	3	3	0	100,00	3	0	100,00
PHK	2011	4	4	0	100,00	4	0	100,00
PHK	2010	8	8	0	100,00	8	0	100,00
PHL	2018	2	2	0	100,00	2	0	100,00
PHL	2015	1	1	0	100,00	1	0	100,00
PHL	2010	2	2	0	100,00	2	0	100,00
PHM	2018	1	1	0	100,00	1	0	100,00
PHM	2015	1	1	0	100,00	1	0	100,00
PHM	2012	3	3	0	100,00	3	0	100,00
PHM	2011	4	4	0	100,00	4	0	100,00
PHM	2010	4	4	0	100,00	4	0	100,00
PHN	2018	1	1	0	100,00	1	0	100,00
PHN	2016	2	2	0	100,00	2	0	100,00
PHN	2015	4	1	3	25,00	1	3	25,00
PHN	2014	5	0	5	0,00	0	5	0,00
PHN	2013	3	2	1	66,67	2	1	66,67
PHN	2012	4	0	4	0,00	0	4	0,00
PHN	2011	4	1	3	25,00	1	3	25,00
PHN	2010	8	4	4	50,00	4	4	50,00
PHO	2010	1	1	0	100,00	1	0	100,00
PHP	2016	1	1	0	100,00	1	0	100,00
PHP	2015	2	1	1	50,00	1	1	50,00
PHP	2014	1	0	1	0,00	0	1	0,00
PHP	2013	2	1	1	50,00	1	1	50,00
PHP	2012	1	1	0	100,00	1	0	100,00
PHP	2011	2	2	0	100,00	2	0	100,00
PHP	2010	9	7	2	77,78	7	2	77,78
PHQ	2015	1	1	0	100,00	1	0	100,00
PHQ	2012	2	2	0	100,00	2	0	100,00
PHR	2010	1	1	0	100,00	1	0	100,00
PHS	2017	1	1	0	100,00	1	0	100,00
PHS	2016	3	3	0	100,00	3	0	100,00
PHS	2015	2	2	0	100,00	2	0	100,00
PHS	2014	3	0	3	0,00	0	3	0,00
PHS	2012	3	3	0	100,00	3	0	100,00
PHS	2011	7	7	0	100,00	7	0	100,00
PHS	2010	16	16	0	100,00	16	0	100,00
PHT	2018	2	2	0	100,00	2	0	100,00
PHT	2017	2	1	1	50,00	1	1	50,00
PHT	2016	4	0	4	0,00	0	4	0,00
PHT	2015	3	1	2	33,33	1	2	33,33
PHT	2014	4	4	0	100,00	4	0	100,00
PHT	2013	4	3	1	75,00	3	1	75,00
PHT	2012	9	6	3	66,67	6	3	66,67
PHT	2011	9	6	3	66,67	6	3	66,67
PHT	2010	5	1	4	20,00	1	4	20,00
PHU	2018	2	2	0	100,00	2	0	100,00
PHU	2017	1	1	0	100,00	1	0	100,00
PHU	2016	1	1	0	100,00	1	0	100,00
PHU	2015	2	0	2	0,00	0	2	0,00
PHU	2014	1	0	1	0,00	0	1	0,00
PHU	2013	1	1	0	100,00	1	0	100,00
PHU	2011	2	1	1	50,00	1	1	50,00
PHU	2010	2	0	2	0,00	0	2	0,00
PHV	2016	1	1	0	100,00	1	0	100,00
PHV	2015	3	3	0	100,00	3	0	100,00
PHV	2014	1	1	0	100,00	1	0	100,00
PHV	2013	1	1	0	100,00	1	0	100,00
PHV	2011	2	2	0	100,00	2	0	100,00
PHW	2019	1	1	0	100,00	1	0	100,00
PHW	2018	1	1	0	100,00	1	0	100,00
PHW	2015	1	1	0	100,00	1	0	100,00
PHW	2012	1	1	0	100,00	1	0	100,00
PHW	2011	1	1	0	100,00	1	0	100,00
PHW	2010	2	2	0	100,00	2	0	100,00
PHX	2014	1	0	1	0,00	0	1	0,00
PHX	2012	1	0	1	0,00	0	1	0,00
PHX	2010	1	1	0	100,00	1	0	100,00
PHY	2018	1	1	0	100,00	1	0	100,00
PHY	2017	1	1	0	100,00	1	0	100,00
PHY	2016	2	0	2	0,00	0	2	0,00
PHY	2014	1	1	0	100,00	1	0	100,00
PHY	2013	2	2	0	100,00	2	0	100,00
PHY	2012	1	1	0	100,00	1	0	100,00
PHY	2011	2	2	0	100,00	2	0	100,00
PHY	2010	4	3	1	75,00	3	1	75,00
PO	2018	8	8	0	100,00	7	1	87,50
PO	2017	12	8	4	66,67	8	4	66,67
PO	2016	18	12	6	66,67	12	6	66,67
PO	2015	16	15	1	93,75	15	1	93,75
PO	2014	23	21	2	91,30	21	2	91,30
PO	2013	20	20	0	100,00	20	0	100,00
PO	2012	28	28	0	100,00	28	0	100,00
PO	2011	31	31	0	100,00	31	0	100,00
PO	2010	41	39	2	95,12	39	2	95,12
POA	2017	1	1	0	100,00	1	0	100,00
POA	2015	2	1	1	50,00	1	1	50,00
POA	2014	1	1	0	100,00	1	0	100,00
POA	2013	1	1	0	100,00	1	0	100,00
POA	2012	2	2	0	100,00	2	0	100,00
POA	2011	1	1	0	100,00	1	0	100,00
POA	2010	4	4	0	100,00	4	0	100,00
POB	2018	1	1	0	100,00	1	0	100,00
POB	2014	1	1	0	100,00	1	0	100,00
POB	2010	1	1	0	100,00	1	0	100,00
POC	2017	1	1	0	100,00	1	0	100,00
POC	2016	4	0	4	0,00	0	4	0,00
POC	2012	1	1	0	100,00	1	0	100,00
POD	2018	2	2	0	100,00	2	0	100,00
POD	2016	1	1	0	100,00	1	0	100,00
POD	2015	2	2	0	100,00	2	0	100,00
POD	2013	1	1	0	100,00	1	0	100,00
POD	2012	1	1	0	100,00	1	0	100,00
POD	2011	1	1	0	100,00	1	0	100,00
POD	2010	2	2	0	100,00	2	0	100,00
POE	2018	2	2	0	100,00	2	0	100,00
POE	2017	1	1	0	100,00	1	0	100,00
POE	2016	1	1	0	100,00	1	0	100,00
POE	2015	1	1	0	100,00	1	0	100,00
POE	2014	2	2	0	100,00	2	0	100,00
POE	2013	7	7	0	100,00	7	0	100,00
POE	2012	2	2	0	100,00	2	0	100,00
POE	2011	3	3	0	100,00	3	0	100,00
POE	2010	1	1	0	100,00	1	0	100,00
POF	2018	1	1	0	100,00	1	0	100,00
POF	2016	2	2	0	100,00	2	0	100,00
POF	2015	2	2	0	100,00	2	0	100,00
POF	2014	3	3	0	100,00	3	0	100,00
POF	2012	3	3	0	100,00	3	0	100,00
POF	2011	1	1	0	100,00	1	0	100,00
POG	2018	2	2	0	100,00	1	1	50,00
POG	2017	1	1	0	100,00	1	0	100,00
POG	2016	4	4	0	100,00	4	0	100,00
POG	2015	2	2	0	100,00	2	0	100,00
POG	2014	3	3	0	100,00	3	0	100,00
POG	2013	6	6	0	100,00	6	0	100,00
POG	2012	7	7	0	100,00	7	0	100,00
POG	2011	8	8	0	100,00	8	0	100,00
POG	2010	4	4	0	100,00	4	0	100,00
POI	2010	1	1	0	100,00	1	0	100,00
POK	2015	1	1	0	100,00	1	0	100,00
POK	2014	1	1	0	100,00	1	0	100,00
POK	2012	1	1	0	100,00	1	0	100,00
POK	2011	2	2	0	100,00	2	0	100,00
POK	2010	1	1	0	100,00	1	0	100,00
POL	2012	1	1	0	100,00	1	0	100,00
POL	2011	1	1	0	100,00	1	0	100,00
POL	2010	1	1	0	100,00	1	0	100,00
POM	2013	1	1	0	100,00	1	0	100,00
POM	2011	1	1	0	100,00	1	0	100,00
POM	2010	1	1	0	100,00	1	0	100,00
PON	2014	1	1	0	100,00	1	0	100,00
POO	2015	1	1	0	100,00	1	0	100,00
POO	2012	2	2	0	100,00	2	0	100,00
POO	2011	4	4	0	100,00	4	0	100,00
POO	2010	9	7	2	77,78	7	2	77,78
POQ	2016	2	2	0	100,00	2	0	100,00
POQ	2015	1	1	0	100,00	1	0	100,00
POQ	2014	3	1	2	33,33	1	2	33,33
POQ	2013	1	1	0	100,00	1	0	100,00
POQ	2012	3	3	0	100,00	3	0	100,00
POQ	2011	1	1	0	100,00	1	0	100,00
POQ	2010	2	2	0	100,00	2	0	100,00
POR	2012	1	1	0	100,00	1	0	100,00
POT	2015	1	1	0	100,00	1	0	100,00
POT	2014	1	1	0	100,00	1	0	100,00
POT	2013	1	1	0	100,00	1	0	100,00
POT	2012	1	1	0	100,00	1	0	100,00
POT	2010	1	1	0	100,00	1	0	100,00
POU	2017	2	2	0	100,00	2	0	100,00
POU	2016	2	0	2	0,00	0	2	0,00
POU	2015	1	1	0	100,00	1	0	100,00
POU	2014	4	4	0	100,00	4	0	100,00
POU	2012	1	1	0	100,00	1	0	100,00
POU	2011	2	2	0	100,00	2	0	100,00
POU	2010	3	3	0	100,00	3	0	100,00
POV	2012	1	1	0	100,00	1	0	100,00
POV	2011	1	1	0	100,00	1	0	100,00
POV	2010	1	1	0	100,00	1	0	100,00
POW	2017	6	2	4	33,33	2	4	33,33
POW	2016	2	2	0	100,00	2	0	100,00
POW	2015	2	2	0	100,00	2	0	100,00
POW	2014	3	3	0	100,00	3	0	100,00
POW	2013	2	2	0	100,00	2	0	100,00
POW	2012	1	1	0	100,00	1	0	100,00
POW	2011	5	5	0	100,00	5	0	100,00
POW	2010	9	9	0	100,00	9	0	100,00
PS	2018	6	6	0	100,00	6	0	100,00
PS	2017	11	10	1	90,91	10	1	90,91
PS	2016	16	16	0	100,00	16	0	100,00
PS	2015	30	26	4	86,67	26	4	86,67
PS	2014	40	40	0	100,00	40	0	100,00
PS	2013	53	49	4	92,45	49	4	92,45
PS	2012	49	48	1	97,96	48	1	97,96
PS	2011	90	83	7	92,22	82	8	91,11
PS	2010	109	102	7	93,58	102	7	93,58
Reha	2018	3	3	0	100,00	3	0	100,00
Reha	2017	8	8	0	100,00	8	0	100,00
Reha	2016	10	10	0	100,00	10	0	100,00
Reha	2015	21	20	1	95,24	20	1	95,24
Reha	2014	15	11	4	73,33	11	4	73,33
Reha	2013	21	20	1	95,24	20	1	95,24
Reha	2012	23	22	1	95,65	20	3	86,96
Reha	2011	21	20	1	95,24	20	1	95,24
Reha	2010	46	46	0	100,00	46	0	100,00
S	2018	8	7	1	87,50	7	1	87,50
S	2017	24	24	0	100,00	24	0	100,00
S	2016	13	11	2	84,62	11	2	84,62
S	2015	31	29	2	93,55	29	2	93,55
S	2014	49	43	6	87,76	43	6	87,76
S	2013	59	58	1	98,31	58	1	98,31
S	2012	46	45	1	97,83	45	1	97,83
S	2011	63	58	5	92,06	58	5	92,06
S	2010	84	77	7	91,67	77	7	91,67
SAA	2017	2	2	0	100,00	2	0	100,00
SAA	2015	2	2	0	100,00	2	0	100,00
SAA	2013	1	1	0	100,00	1	0	100,00
SAA	2012	2	2	0	100,00	2	0	100,00
SAA	2011	10	5	5	50,00	5	5	50,00
SAA	2010	8	5	3	62,50	5	3	62,50
SBB	2018	2	2	0	100,00	2	0	100,00
SBB	2017	3	3	0	100,00	3	0	100,00
SBB	2016	1	1	0	100,00	1	0	100,00
SBB	2015	3	3	0	100,00	3	0	100,00
SBB	2014	14	13	1	92,86	13	1	92,86
SBB	2013	14	13	1	92,86	13	1	92,86
SBB	2012	14	14	0	100,00	14	0	100,00
SBB	2011	15	15	0	100,00	15	0	100,00
SBB	2010	29	25	4	86,21	25	4	86,21
SBC	2018	2	2	0	100,00	2	0	100,00
SBC	2017	7	7	0	100,00	7	0	100,00
SBC	2015	3	3	0	100,00	3	0	100,00
SBC	2014	9	9	0	100,00	9	0	100,00
SBC	2013	10	10	0	100,00	10	0	100,00
SBC	2012	8	8	0	100,00	8	0	100,00
SBC	2011	8	8	0	100,00	8	0	100,00
SBC	2010	13	13	0	100,00	13	0	100,00
SBD	2018	1	1	0	100,00	1	0	100,00
SBD	2017	1	1	0	100,00	1	0	100,00
SBD	2016	1	1	0	100,00	1	0	100,00
SBD	2015	2	1	1	50,00	1	1	50,00
SBD	2014	1	1	0	100,00	1	0	100,00
SBD	2013	3	3	0	100,00	3	0	100,00
SBD	2012	2	2	0	100,00	2	0	100,00
SBD	2011	5	5	0	100,00	5	0	100,00
SBD	2010	8	8	0	100,00	8	0	100,00
SBE	2015	2	2	0	100,00	2	0	100,00
SBE	2014	2	2	0	100,00	2	0	100,00
SBE	2012	2	2	0	100,00	2	0	100,00
SBE	2011	1	1	0	100,00	1	0	100,00
SBE	2010	7	7	0	100,00	7	0	100,00
SBH	2017	1	1	0	100,00	1	0	100,00
SBH	2016	1	1	0	100,00	1	0	100,00
SBH	2015	4	3	1	75,00	3	1	75,00
SBH	2014	2	1	1	50,00	1	1	50,00
SBH	2013	2	2	0	100,00	2	0	100,00
SBH	2012	3	2	1	66,67	2	1	66,67
SBH	2011	3	3	0	100,00	3	0	100,00
SBH	2010	3	3	0	100,00	3	0	100,00
SCB	2018	1	0	1	0,00	0	1	0,00
SCB	2017	4	4	0	100,00	4	0	100,00
SCB	2016	1	1	0	100,00	1	0	100,00
SCB	2015	3	3	0	100,00	3	0	100,00
SCB	2014	3	3	0	100,00	3	0	100,00
SCB	2013	9	9	0	100,00	9	0	100,00
SCB	2012	7	7	0	100,00	7	0	100,00
SCB	2011	5	5	0	100,00	5	0	100,00
SCB	2010	2	2	0	100,00	2	0	100,00
SCC	2018	2	2	0	100,00	2	0	100,00
SCC	2015	2	2	0	100,00	2	0	100,00
SCC	2014	2	2	0	100,00	2	0	100,00
SCC	2013	2	2	0	100,00	2	0	100,00
SCC	2012	1	1	0	100,00	1	0	100,00
SCC	2011	3	3	0	100,00	3	0	100,00
SCC	2010	2	2	0	100,00	2	0	100,00
SCD	2017	1	1	0	100,00	1	0	100,00
SCD	2016	2	2	0	100,00	2	0	100,00
SCD	2015	4	4	0	100,00	4	0	100,00
SCD	2014	2	2	0	100,00	2	0	100,00
SCD	2013	5	5	0	100,00	5	0	100,00
SCD	2012	1	1	0	100,00	1	0	100,00
SCD	2011	2	2	0	100,00	2	0	100,00
SCD	2010	2	2	0	100,00	2	0	100,00
SCE	2017	1	1	0	100,00	1	0	100,00
SCE	2016	1	1	0	100,00	1	0	100,00
SCE	2014	1	1	0	100,00	1	0	100,00
SCE	2013	3	3	0	100,00	3	0	100,00
SCE	2011	2	2	0	100,00	2	0	100,00
SCF	2017	3	3	0	100,00	3	0	100,00
SCF	2016	6	4	2	66,67	4	2	66,67
SCF	2015	4	4	0	100,00	4	0	100,00
SCF	2014	13	9	4	69,23	9	4	69,23
SCF	2013	10	10	0	100,00	10	0	100,00
SCF	2012	5	5	0	100,00	5	0	100,00
SCF	2011	8	8	0	100,00	8	0	100,00
SCF	2010	10	10	0	100,00	10	0	100,00
SCJ	2017	1	1	0	100,00	1	0	100,00
SCK	2015	2	2	0	100,00	2	0	100,00
SCK	2011	1	1	0	100,00	1	0	100,00
SCL	2012	1	1	0	100,00	1	0	100,00
SD	2018	28	14	14	50,00	14	14	50,00
SD	2017	44	36	8	81,82	36	8	81,82
SD	2016	61	44	17	72,13	42	19	68,85
SD	2015	76	53	23	69,74	52	24	68,42
SD	2014	91	72	19	79,12	71	20	78,02
